Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.33787859078448174
75% Corpus,2,0.01,0.31,0.3830414671616936
75% Corpus,2,0.01,0.61,0.41577454823297444
75% Corpus,2,0.01,0.9099999999999999,0.4941561443097332
75% Corpus,2,0.01,symmetric,0.3705693496819276
75% Corpus,2,0.31,0.01,0.3339910073969798
75% Corpus,2,0.31,0.31,0.3708297338385888
75% Corpus,2,0.31,0.61,0.41650336166059176
75% Corpus,2,0.31,0.9099999999999999,0.46166146910411643
75% Corpus,2,0.31,symmetric,0.3556206755723684
75% Corpus,2,0.61,0.01,0.32390739195180884
75% Corpus,2,0.61,0.31,0.34206218093228824
75% Corpus,2,0.61,0.61,0.4025842059778868
75% Corpus,2,0.61,0.9099999999999999,0.44887122048999595
75% Corpus,2,0.61,symmetric,0.3569799272345349
75% Corpus,2,0.9099999999999999,0.01,0.3276932106391342
75% Corpus,2,0.9099999999999999,0.31,0.38490613198357865
75% Corpus,2,0.9099999999999999,0.61,0.40973346612572675
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.42676798284202394
75% Corpus,2,0.9099999999999999,symmetric,0.3461763621094403
75% Corpus,2,symmetric,0.01,0.33034526609123943
75% Corpus,2,symmetric,0.31,0.4023808644805852
75% Corpus,2,symmetric,0.61,0.4223502724291017
75% Corpus,2,symmetric,0.9099999999999999,0.46114124130965123
75% Corpus,2,symmetric,symmetric,0.3626901314723357
75% Corpus,2,asymmetric,0.01,0.33345789440303353
75% Corpus,2,asymmetric,0.31,0.3770116356430523
75% Corpus,2,asymmetric,0.61,0.4279416806699626
75% Corpus,2,asymmetric,0.9099999999999999,0.45606302996620707
75% Corpus,2,asymmetric,symmetric,0.36692989230555895
75% Corpus,3,0.01,0.01,0.33634660162334173
75% Corpus,3,0.01,0.31,0.3923796408872176
75% Corpus,3,0.01,0.61,0.4239213386777968
75% Corpus,3,0.01,0.9099999999999999,0.4575062625240597
75% Corpus,3,0.01,symmetric,0.3736086492369253
75% Corpus,3,0.31,0.01,0.3506100385636623
75% Corpus,3,0.31,0.31,0.3844420092206956
75% Corpus,3,0.31,0.61,0.43972847029488954
75% Corpus,3,0.31,0.9099999999999999,0.4556091515635954
75% Corpus,3,0.31,symmetric,0.3425449550736778
75% Corpus,3,0.61,0.01,0.3252256885079383
75% Corpus,3,0.61,0.31,0.36307279212086396
75% Corpus,3,0.61,0.61,0.39243721336083615
75% Corpus,3,0.61,0.9099999999999999,0.4418537436987659
75% Corpus,3,0.61,symmetric,0.3563618125132375
75% Corpus,3,0.9099999999999999,0.01,0.3276932106391342
75% Corpus,3,0.9099999999999999,0.31,0.37283294523895644
75% Corpus,3,0.9099999999999999,0.61,0.3958520661180532
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.44835409722421504
75% Corpus,3,0.9099999999999999,symmetric,0.33233128703240006
75% Corpus,3,symmetric,0.01,0.32676649628414356
75% Corpus,3,symmetric,0.31,0.38470540774302125
75% Corpus,3,symmetric,0.61,0.4323378110899272
75% Corpus,3,symmetric,0.9099999999999999,0.45085556199531307
75% Corpus,3,symmetric,symmetric,0.36708631704490546
75% Corpus,3,asymmetric,0.01,0.33010830621501236
75% Corpus,3,asymmetric,0.31,0.37875280454230614
75% Corpus,3,asymmetric,0.61,0.3952603556549721
75% Corpus,3,asymmetric,0.9099999999999999,0.4625834045685848
75% Corpus,3,asymmetric,symmetric,0.3660840402327867
75% Corpus,4,0.01,0.01,0.3644369195607362
75% Corpus,4,0.01,0.31,0.39112655057836976
75% Corpus,4,0.01,0.61,0.4335852148037465
75% Corpus,4,0.01,0.9099999999999999,0.4716535918755055
75% Corpus,4,0.01,symmetric,0.3583934298139327
75% Corpus,4,0.31,0.01,0.32409764281620285
75% Corpus,4,0.31,0.31,0.3970561590637954
75% Corpus,4,0.31,0.61,0.4617820395606499
